review_id,paper_slug,system,model,official_decision,tone_verdict,tone_confidence,tone_signal,gate_verdict,gate_reason,triggered_gates,fundamental_gate_hits,fatal_concern_present,num_concerns,num_decisive_concerns,num_major_fatal_concerns,has_accept_signal,per_concern_gates_json,structural_unreliable_flag,positive_tone_missed_flaws_flag
EXT9-019,cmdp_meta_safe_rl,L,Opus,ACCEPTED,REJECT,high,The review praises the theoretical ambition but repeatedly argues that the theory does not support the practical claims and the baselines are too weak.,REJECT,"REJECT because the review accumulates many fundamental hits through weak baselines and a large theory–evidence mismatch about applicability, scaling, and modularity.","G1, G2, G7",6,false,9,9,6,true,"[{""id"": ""A1"", ""gates"": [""G2""]}, {""id"": ""A2"", ""gates"": [""G1""]}, {""id"": ""A3"", ""gates"": []}, {""id"": ""A4"", ""gates"": [""G1"", ""G7""]}, {""id"": ""A5"", ""gates"": [""G1"", ""G7""]}, {""id"": ""A6"", ""gates"": [""G1""]}, {""id"": ""A7"", ""gates"": []}, {""id"": ""A8"", ""gates"": [""G1"", ""G7""]}, {""id"": ""A9"", ""gates"": []}]",,
EXT9-020,cmdp_meta_safe_rl,L,GPT4o,ACCEPTED,ACCEPT,medium,"The review foregrounds the first provable Meta-SRL framing and treats the objections as assumptions, breadth, and presentation limits rather than fatal flaws.",AMBIGUOUS,AMBIGUOUS because the only clear fundamental issue is the missing stronger efficiency/scalability comparison; the other major concerns are scope and overclaiming issues.,"G2, G6, G7",1,false,7,0,4,true,"[{""id"": ""A1"", ""gates"": []}, {""id"": ""A2"", ""gates"": []}, {""id"": ""A3"", ""gates"": [""G7""]}, {""id"": ""A4"", ""gates"": [""G7""]}, {""id"": ""A5"", ""gates"": [""G6""]}, {""id"": ""A6"", ""gates"": [""G2""]}, {""id"": ""A7"", ""gates"": []}]",,
EXT9-021,cmdp_meta_safe_rl,A,Opus,ACCEPTED,REJECT,high,"The explicit Reject decision focuses on a sharp theory–practice gap, naive baselines, and missing validation of the paper’s own theoretical predictions.",REJECT,"REJECT because the review identifies four major fundamental problems: mismatch between theory and experiments, vacuous bounds, weak baselines, and unvalidated scaling claims.","G1, G2, G7",4,false,9,4,4,true,"[{""id"": ""A1"", ""gates"": [""G1"", ""G7""]}, {""id"": ""A2"", ""gates"": [""G1""]}, {""id"": ""A3"", ""gates"": [""G2""]}, {""id"": ""A4"", ""gates"": [""G1""]}, {""id"": ""A5"", ""gates"": []}, {""id"": ""A6"", ""gates"": []}, {""id"": ""A7"", ""gates"": []}, {""id"": ""A8"", ""gates"": []}, {""id"": ""A9"", ""gates"": []}]",,
EXT9-022,cmdp_meta_safe_rl,A,GPT4o,ACCEPTED,REJECT,high,"The explicit Reject decision rests on abstract theoretical claims, weak practical validation, and difficulty understanding what is genuinely novel.",AMBIGUOUS,"AMBIGUOUS because the review cleanly identifies one fundamental claim–evidence problem, while the other major concerns are about practical scope and presentation rather than gate-level fatality.","G1, G6, G7",1,false,7,4,4,true,"[{""id"": ""A1"", ""gates"": [""G1""]}, {""id"": ""A2"", ""gates"": []}, {""id"": ""A3"", ""gates"": [""G6"", ""G7""]}, {""id"": ""A4"", ""gates"": []}, {""id"": ""A5"", ""gates"": []}, {""id"": ""A6"", ""gates"": []}, {""id"": ""A7"", ""gates"": []}]",,
EXT9-023,cmdp_meta_safe_rl,O,Opus,ACCEPTED,REJECT,high,The review says the framework is interesting but technical derivation errors materially undermine confidence in the claimed regret guarantees.,REJECT,REJECT because a fatal theorem-level discrepancy plus additional proof errors directly threaten the validity of the main results.,"G1, G4, G7",4,true,8,4,4,true,"[{""id"": ""A1"", ""gates"": [""G1"", ""G4""]}, {""id"": ""A2"", ""gates"": [""G4""]}, {""id"": ""A3"", ""gates"": [""G1"", ""G7""]}, {""id"": ""A4"", ""gates"": [""G4""]}, {""id"": ""A5"", ""gates"": []}, {""id"": ""A6"", ""gates"": []}, {""id"": ""A7"", ""gates"": []}, {""id"": ""A8"", ""gates"": []}]",,
EXT9-024,cmdp_meta_safe_rl,M,GPT4o,ACCEPTED,REJECT,low,"Despite the structural breakage, the surviving content leans negative because it emphasizes missing validation, no component analysis, and major reproducibility gaps.",REJECT,REJECT because the review still surfaces two fundamental concerns—unsupported empirical robustness and no component-level evidence—alongside major implementation omissions.,"G1, G3, G4, G7",2,false,9,6,6,true,"[{""id"": ""A1"", ""gates"": [""G4""]}, {""id"": ""A2"", ""gates"": [""G1""]}, {""id"": ""A3"", ""gates"": [""G7""]}, {""id"": ""A4"", ""gates"": []}, {""id"": ""A5"", ""gates"": []}, {""id"": ""A6"", ""gates"": [""G3""]}, {""id"": ""A7"", ""gates"": []}, {""id"": ""A8"", ""gates"": [""G3""]}, {""id"": ""A9"", ""gates"": [""G3""]}]",YES,
EXT9-025,collabllm,L,Opus,ACCEPTED,REJECT,high,"The review views the idea as important but finds the baseline setup, circular evaluation, simulator validity, and user-study evidence too weak for acceptance.",REJECT,"REJECT because four major concerns hit fundamental gates via missing strong baselines, circular reward/evaluation design, simulator validity, and thin real-user evidence.","G1, G2, G4, G6",4,false,4,4,4,true,"[{""id"": ""A1"", ""gates"": [""G2""]}, {""id"": ""A2"", ""gates"": [""G1"", ""G4""]}, {""id"": ""A3"", ""gates"": [""G4""]}, {""id"": ""A4"", ""gates"": [""G4"", ""G6""]}]",,
EXT9-026,collabllm,L,GPT4o,ACCEPTED,ACCEPT,medium,"The review is broadly enthusiastic about the multiturn-collaboration objective and treats the listed issues as scope, realism, and comparison improvements.",ACCEPT,ACCEPT because all major issues are moderate in gate terms and none map to a fundamental reject category.,,0,false,4,0,0,true,"[{""id"": ""A1"", ""gates"": []}, {""id"": ""A2"", ""gates"": []}, {""id"": ""A3"", ""gates"": []}, {""id"": ""A4"", ""gates"": []}]",,
EXT9-027,collabllm,A,Opus,ACCEPTED,REJECT,high,"The explicit Reject decision is driven by missing multiturn baselines, no ablation for the key reward idea, circular judging, and overclaimed causal framing.",REJECT,"REJECT because at least six major concerns hit fundamental gates, including G2, repeated G1/G4 problems, and overclaiming of the causal contribution.","G1, G2, G4, G7",6,false,11,3,6,true,"[{""id"": ""A1"", ""gates"": [""G2""]}, {""id"": ""A2"", ""gates"": [""G1"", ""G4""]}, {""id"": ""A3"", ""gates"": [""G1"", ""G4""]}, {""id"": ""A4"", ""gates"": [""G1"", ""G7""]}, {""id"": ""A5"", ""gates"": [""G4""]}, {""id"": ""A6"", ""gates"": [""G1"", ""G7""]}, {""id"": ""A7"", ""gates"": []}, {""id"": ""A8"", ""gates"": []}, {""id"": ""A9"", ""gates"": []}, {""id"": ""A10"", ""gates"": []}, {""id"": ""A11"", ""gates"": []}]",,
EXT9-028,collabllm,A,GPT4o,ACCEPTED,REJECT,high,"The explicit Reject decision emphasizes limited novelty, weak theoretical support, and unconvincing real-world transfer from simulated settings.",REJECT,"REJECT because the review flags incremental novelty, unsupported improvement claims, and simulator-driven validity problems as reject-level issues.","G1, G4, G5, G6, G7",3,false,5,3,5,true,"[{""id"": ""A1"", ""gates"": [""G5""]}, {""id"": ""A2"", ""gates"": [""G1""]}, {""id"": ""A3"", ""gates"": []}, {""id"": ""A4"", ""gates"": [""G6"", ""G7""]}, {""id"": ""A5"", ""gates"": [""G4"", ""G6""]}]",,
