review_id,paper_slug,system,model,official_decision,tone_verdict,tone_confidence,tone_signal,gate_verdict,gate_reason,triggered_gates,fundamental_gate_hits,fatal_concern_present,num_concerns,num_decisive_concerns,num_major_fatal_concerns,has_accept_signal,per_concern_gates_json,structural_unreliable_flag,positive_tone_missed_flaws_flag
EXT9-037,from_capabilities_pentest,L,Opus,ACCEPTED,REJECT,high,"The review argues that the capability study is statistically weak, methodologically underdescribed, confounded by baseline reimplementation and contamination, and not very novel.",REJECT,"REJECT because the paper is rejected on repeated validity problems, a baseline-faithfulness issue, missing implementation detail, and limited novelty.","G1, G2, G3, G4, G5",7,false,11,8,8,true,"[{""id"": ""A1"", ""gates"": [""G4""]}, {""id"": ""A2"", ""gates"": [""G4""]}, {""id"": ""A3"", ""gates"": []}, {""id"": ""A4"", ""gates"": [""G1""]}, {""id"": ""A5"", ""gates"": [""G3""]}, {""id"": ""A6"", ""gates"": [""G2""]}, {""id"": ""A7"", ""gates"": [""G4""]}, {""id"": ""A8"", ""gates"": []}, {""id"": ""A9"", ""gates"": [""G5""]}, {""id"": ""A10"", ""gates"": [""G5""]}, {""id"": ""A11"", ""gates"": []}]",,
EXT9-038,from_capabilities_pentest,L,GPT4o,ACCEPTED,ACCEPT,medium,"The review presents the evaluation as timely and practically valuable, with the main serious concern being ecological validity outside the controlled testbeds.",ACCEPT,ACCEPT because the only major issue is limited real-world generalizability; no fundamental gate hit is identified.,"G6, G7",0,false,6,0,1,true,"[{""id"": ""A1"", ""gates"": [""G6"", ""G7""]}, {""id"": ""A2"", ""gates"": []}, {""id"": ""A3"", ""gates"": []}, {""id"": ""A4"", ""gates"": []}, {""id"": ""A5"", ""gates"": []}, {""id"": ""A6"", ""gates"": []}]",,
EXT9-039,from_capabilities_pentest,A,Opus,ACCEPTED,REJECT,high,"The explicit Reject decision is severe, centered on fatal implementation opacity, no statistical rigor, subjective capability labels, and weakly validated baselines.",REJECT,"REJECT because fatal G3/G4 issues are present, with further major hits for baseline faithfulness, unsupported augmentation claims, and limited novelty.","G1, G2, G3, G4, G5, G6",6,true,13,3,8,true,"[{""id"": ""A1"", ""gates"": [""G3""]}, {""id"": ""A2"", ""gates"": [""G4""]}, {""id"": ""A3"", ""gates"": [""G4""]}, {""id"": ""A4"", ""gates"": [""G4""]}, {""id"": ""A5"", ""gates"": [""G2"", ""G4""]}, {""id"": ""A6"", ""gates"": [""G1""]}, {""id"": ""A7"", ""gates"": [""G5""]}, {""id"": ""A8"", ""gates"": []}, {""id"": ""A9"", ""gates"": [""G6""]}, {""id"": ""A10"", ""gates"": []}, {""id"": ""A11"", ""gates"": []}, {""id"": ""A12"", ""gates"": []}, {""id"": ""A13"", ""gates"": []}]",,
EXT9-040,from_capabilities_pentest,A,GPT4o,ACCEPTED,REJECT,high,The explicit Reject decision treats the paper as not novel or significant enough and insufficiently compared to stronger existing approaches.,REJECT,REJECT because the review identifies two novelty-related major concerns plus a missing strong comparison baseline.,"G2, G5",3,false,7,2,3,true,"[{""id"": ""A1"", ""gates"": [""G5""]}, {""id"": ""A2"", ""gates"": [""G5""]}, {""id"": ""A3"", ""gates"": []}, {""id"": ""A4"", ""gates"": [""G2""]}, {""id"": ""A5"", ""gates"": []}, {""id"": ""A6"", ""gates"": []}, {""id"": ""A7"", ""gates"": []}]",,
EXT9-041,from_capabilities_pentest,O,Opus,ACCEPTED,REJECT,high,"The review is overwhelmingly negative because it finds the taxonomy bloated, the metrics internally inconsistent, the augmentation results suspicious, and the empirical tables unreliable.",REJECT,"REJECT because multiple fatal validity problems appear, including post-hoc-looking augmentation percentages and numerically inconsistent tables, along with missing implementation detail and weak baselines.","G1, G2, G3, G4, G5, G6",16,true,39,10,18,true,"[{""id"": ""A1"", ""gates"": [""G5""]}, {""id"": ""A2"", ""gates"": [""G5""]}, {""id"": ""A3"", ""gates"": [""G2""]}, {""id"": ""A4"", ""gates"": []}, {""id"": ""A5"", ""gates"": []}, {""id"": ""A6"", ""gates"": []}, {""id"": ""A7"", ""gates"": []}, {""id"": ""A8"", ""gates"": [""G1"", ""G4""]}, {""id"": ""A9"", ""gates"": []}, {""id"": ""A10"", ""gates"": [""G4""]}, {""id"": ""A11"", ""gates"": [""G4""]}, {""id"": ""A12"", ""gates"": []}, {""id"": ""A13"", ""gates"": []}, {""id"": ""A14"", ""gates"": [""G1"", ""G4""]}, {""id"": ""A15"", ""gates"": [""G4""]}, {""id"": ""A16"", ""gates"": [""G1""]}, {""id"": ""A17"", ""gates"": []}, {""id"": ""A18"", ""gates"": [""G3""]}, {""id"": ""A19"", ""gates"": []}, {""id"": ""A20"", ""gates"": []}, {""id"": ""A21"", ""gates"": []}, {""id"": ""A22"", ""gates"": []}, {""id"": ""A23"", ""gates"": []}, {""id"": ""A24"", ""gates"": []}, {""id"": ""A25"", ""gates"": []}, {""id"": ""A26"", ""gates"": [""G4""]}, {""id"": ""A27"", ""gates"": [""G4""]}, {""id"": ""A28"", ""gates"": []}, {""id"": ""A29"", ""gates"": [""G4"", ""G6""]}, {""id"": ""A30"", ""gates"": [""G4""]}, {""id"": ""A31"", ""gates"": []}, {""id"": ""A32"", ""gates"": [""G4""]}, {""id"": ""A33"", ""gates"": [""G4""]}, {""id"": ""A34"", ""gates"": []}, {""id"": ""A35"", ""gates"": [""G1""]}, {""id"": ""A36"", ""gates"": [""G3""]}, {""id"": ""A37"", ""gates"": []}, {""id"": ""A38"", ""gates"": []}, {""id"": ""A39"", ""gates"": []}]",,
EXT9-042,from_capabilities_pentest,M,GPT4o,ACCEPTED,ACCEPT,low,"The structurally broken output reads as constructive refinement, mainly asking for more augmentation and setup detail while still treating the study as useful.",ACCEPT,ACCEPT because the major complaints are reproducibility/implementation gaps rather than fundamental validity or baseline failures.,G3,0,false,10,0,2,true,"[{""id"": ""A1"", ""gates"": []}, {""id"": ""A2"", ""gates"": []}, {""id"": ""A3"", ""gates"": []}, {""id"": ""A4"", ""gates"": []}, {""id"": ""A5"", ""gates"": []}, {""id"": ""A6"", ""gates"": []}, {""id"": ""A7"", ""gates"": [""G3""]}, {""id"": ""A8"", ""gates"": []}, {""id"": ""A9"", ""gates"": [""G3""]}, {""id"": ""A10"", ""gates"": []}]",YES,
EXT9-043,rl_backtracking_feedback,L,Opus,ACCEPTED,REJECT,high,"The review sees RLBF as an incremental extension whose strongest empirical claims are under-supported by missing stats, missing critic evaluation, and weak baselines.",REJECT,"REJECT because the review identifies novelty, validity, evidence, and baseline problems well beyond the reject threshold.","G1, G2, G3, G4, G5, G6",5,false,8,4,6,true,"[{""id"": ""A1"", ""gates"": [""G5""]}, {""id"": ""A2"", ""gates"": [""G4""]}, {""id"": ""A3"", ""gates"": [""G6""]}, {""id"": ""A4"", ""gates"": [""G1"", ""G3""]}, {""id"": ""A5"", ""gates"": [""G1"", ""G4""]}, {""id"": ""A6"", ""gates"": []}, {""id"": ""A7"", ""gates"": [""G2""]}, {""id"": ""A8"", ""gates"": []}]",,
EXT9-044,rl_backtracking_feedback,L,GPT4o,ACCEPTED,ACCEPT,medium,"The review strongly endorses the safety idea and empirical gains, with only one major methodological complaint about the absence of statistical support.",AMBIGUOUS,AMBIGUOUS because the only major fundamental issue is missing statistical evidence for the reported gains.,G4,1,false,4,2,1,true,"[{""id"": ""A1"", ""gates"": [""G4""]}, {""id"": ""A2"", ""gates"": []}, {""id"": ""A3"", ""gates"": []}, {""id"": ""A4"", ""gates"": []}]",,
EXT9-045,rl_backtracking_feedback,A,Opus,ACCEPTED,REJECT,high,"The explicit Reject decision is driven by fatal missing experimental detail, no comparison to the original baseline, no critic validation, no stats, and no adaptive attack test.",REJECT,REJECT because fatal G3 plus multiple additional G1/G2/G4 hits make this a clear gate-based reject.,"G1, G2, G3, G4, G5, G6, G7",5,true,15,3,8,true,"[{""id"": ""A1"", ""gates"": [""G5""]}, {""id"": ""A2"", ""gates"": [""G3""]}, {""id"": ""A3"", ""gates"": [""G2""]}, {""id"": ""A4"", ""gates"": [""G4"", ""G6""]}, {""id"": ""A5"", ""gates"": [""G1"", ""G4""]}, {""id"": ""A6"", ""gates"": []}, {""id"": ""A7"", ""gates"": [""G3""]}, {""id"": ""A8"", ""gates"": []}, {""id"": ""A9"", ""gates"": [""G4""]}, {""id"": ""A10"", ""gates"": [""G6"", ""G7""]}, {""id"": ""A11"", ""gates"": []}, {""id"": ""A12"", ""gates"": []}, {""id"": ""A13"", ""gates"": []}, {""id"": ""A14"", ""gates"": []}, {""id"": ""A15"", ""gates"": []}]",,
EXT9-046,rl_backtracking_feedback,A,GPT4o,ACCEPTED,REJECT,high,"The explicit Reject decision centers on under-supported empirical claims, unavailable code/data, and unquantified efficiency costs.",AMBIGUOUS,AMBIGUOUS because the review only clearly reaches one fundamental gate hit—the lack of statistical support—while the rest are reproducibility and practicality concerns.,"G3, G4",1,false,7,3,3,true,"[{""id"": ""A1"", ""gates"": [""G4""]}, {""id"": ""A2"", ""gates"": [""G3""]}, {""id"": ""A3"", ""gates"": []}, {""id"": ""A4"", ""gates"": []}, {""id"": ""A5"", ""gates"": []}, {""id"": ""A6"", ""gates"": []}, {""id"": ""A7"", ""gates"": []}]",,
